Id,Title,AltTitle,Author,OriginalKey,Tempo,TimeSig,Number,Year,Copyright,Category,Performer,Notes
,"10,000 Reasons",Bless The Lord,"Jonas Myrin, Matt Redman",G,73,4/4,6016351,2011,Atlas Mountain Songs,Contemporary,,
,A Mighty Fortress Is Our God,,Martin Luther,C,120,4/4,42964,1529,Public Domain,Hymn,,
,Above All,,"Lenny LeBlanc, Paul Baloche",A,62,4/4,2672885,1999,Integrity's Hosanna! Music,Intermediate,,
,All Glory Be To Christ,,Dustin Kensrue,E,94,4/4,7008232,2012,We Are Younger We Are Faster Music,Contemporary,,
,All Heaven Declares,,"Noel Richards, Tricia Richards",A,120,4/4,120556,1987,Thankyou Music,Intermediate,,
,All The Poor And Powerless,,"David Leonard, Leslie Jordan",A,76,4/4,5881130,2011,Integrity's Alleluia! Music,Contemporary,,
,All To Us,,"Chris Tomlin, Jesse Reeves",Ab,62,4/4,5869860,2010,sixsteps Music,Contemporary,,
,Amazing Grace,,"John Newton, John P. Rees",G,90,3/4,22025,1779,Public Domain,Hymn,,
,Amazing Grace,My Chains Are Gone,"Chris Tomlin, John Newton",F,60,4/4,4768151,2006,sixsteps Music,Contemporary,,
,Ancient Words,,Lynn DeShazo,E,63,3/4,2986399,2001,Integrity's Hosanna! Music,Contemporary,,
,And Can It Be,Amazing Love,Charles Wesley,G,110,4/4,25280,1738,Public Domain,Hymn,,
,Another In The Fire,,"Chris Davenport, Joel Houston",C,67,4/4,7124907,2018,Hillsong Music Publishing Australia,Contemporary,,
,Are You Washed In The Blood,,Elisha A. Hoffman,Ab,96,4/4,21105,1878,Public Domain,Hymn,,
,As The Deer,,Martin Nystrom,D,74,4/4,1431,1984,Universal Music,Intermediate,,
,At The Cross,,"Isaac Watts, Ralph E. Hudson",Eb,82,4/4,29499,1707,Public Domain,Hymn,,
,At The Cross,Love Ran Red,"Chris Tomlin, Ed Cash",G,72,4/4,7017786,2014,Countless Wonder Publishing,Contemporary,,
,Be Enthroned,,"Brian Johnson, Hunter Thompson",Db,70,4/4,7054178,2015,Bethel Music Publishing,Contemporary,,
,Be Thou My Vision,,"Eleanor H. Hull, Mary E. Byrne",Eb,,3/4,30639,1912,Public Domain,Hymn,,
,Beautiful One,,Tim Hughes,D,122,4/4,3915912,2002,Thankyou Music,Contemporary,,
,Because He Lives,,"Gloria Gaither, William J. Gaither",Ab,96,4/4,16880,1971,Hanna Street Music,Intermediate,,
,Before The Throne Of God Above,,"Charitie L. Bancroft, Vikki Cook",D,76,3/4,2306412,1997,Sovereign Grace Worship,Intermediate,,
,Behold Our God,,"Jonathan Baird, Meghan Baird",C,73,4/4,5937510,2011,Sovereign Grace Praise,Contemporary,,
,Behold The Lord,,"Gerald Coates, Noel Richards",G,49,4/4,1101763,1991,Thankyou Music,Intermediate,,
,Better Is One Day,,Matt Redman,E,77,4/4,1097451,1995,Thankyou Music,Intermediate,,
